SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,NB_OF_DAYS,DAILY_MEAN,NB_OF_INVOICES
0001BB,2018-01-01,2018-01-31,2447,"316,46",30,81.56666666666666,35
0001BB,2018-01-02,2018-02-28,2211,"286,82",57,38.78947368421053,35
0001BB,2018-01-03,2018-03-31,2450,"317,32",87,28.160919540229884,35
0001BB,2018-01-04,2018-04-30,2431,"315,00",116,20.95689655172414,35
0001BB,2018-01-05,2018-05-31,2574,"333,37",146,17.63013698630137,35
0001BB,2018-01-06,2018-06-30,2830,"365,27",175,16.17142857142857,35
0001BB,2018-01-07,2018-07-31,3028,"390,39",205,14.770731707317074,35
0001BB,2018-01-08,2018-08-31,3053,"393,99",235,12.991489361702127,35
0001BB,2018-01-09,2018-09-30,2915,"378,35",264,11.041666666666666,35
0001BB,2018-01-10,2018-10-31,2986,"387,05",294,10.156462585034014,35
0001BB,2018-01-11,2018-11-30,2871,"372,47",323,8.888544891640867,35
0001BB,2018-01-12,2018-12-31,3086,"399,30",353,8.742209631728045,35
0001BB,2019-01-01,2019-01-31,3094,"381,40",30,103.13333333333334,35
0001BB,2019-01-02,2019-02-28,2767,"345,87",57,48.54385964912281,35
0001BB,2019-01-03,2019-03-31,3059,"378,18",87,35.160919540229884,35
0001BB,2019-01-04,2019-04-30,2761,"340,84",116,23.801724137931036,35
0001BB,2019-01-05,2019-05-31,2844,"349,26",146,19.47945205479452,35
0001BB,2019-01-06,2019-06-30,3009,"369,19",175,17.194285714285716,35
0001BB,2019-01-07,2019-07-31,3016,"371,20",205,14.71219512195122,35
0001BB,2019-01-08,2019-08-31,3089,"380,42",235,13.14468085106383,35
0001BB,2019-01-09,2019-09-30,2914,"361,36",264,11.037878787878787,35
0001BB,2019-01-10,2019-10-31,2963,"366,70",294,10.078231292517007,35
0001BB,2019-01-11,2019-11-30,2797,"345,89",323,8.659442724458204,35
0001BB,2019-01-12,2019-12-31,2859,"353,08",353,8.09915014164306,35
0001BB,2020-01-01,2020-01-31,2863,"414,93",30,95.43333333333334,35
0001BB,2020-01-02,2020-02-29,2663,"387,22",58,45.91379310344828,35
